description,label
beli kopi di cafe,Makanan
pesan nasi goreng,Makanan
beli makan siang,Makanan
beli sayur dan buah,Makanan
beli roti pagi,Makanan
beli susu dan snack,Makanan
bayar makan malam,Makanan
order makanan online,Makanan
beli boba,Makanan
langganan katering harian,Makanan
isi bensin motor,Transportasi
bayar gojek ke kantor,Transportasi
bayar grab pulang,Transportasi
beli tiket kereta,Transportasi
top up kartu tol,Transportasi
servis motor,Transportasi
parkir mall,Transportasi
naik taksi bandara,Transportasi
bayar angkot,Transportasi
beli tiket bus,Transportasi
spotify premium,Hiburan
langganan netflix,Hiburan
nonton bioskop,Hiburan
beli game steam,Hiburan
beli tiket konser,Hiburan
langganan disney hotstar,Hiburan
top up game online,Hiburan
beli buku novel,Hiburan
langganan youtube premium,Hiburan
main bowling,Hiburan
gaji bulanan dari kantor,Gaji
gaji freelance website,Gaji
bonus proyek freelance,Gaji
pemasukan dari client,Gaji
transfer honor kerja,Gaji
komisi penjualan,Gaji
bayaran lembur,Gaji
fee jasa desain,Gaji
pendapatan usaha sampingan,Gaji
masuk gaji part time,Gaji
bayar listrik rumah,Lainnya
bayar internet rumah,Lainnya
bayar air bulanan,Lainnya
beli kebutuhan rumah,Lainnya
donasi rutin bulanan,Lainnya
bayar asuransi kesehatan,Lainnya
tagihan kartu kredit,Lainnya
bayar cicilan,Lainnya
beli obat apotek,Lainnya
bayar sekolah adik,Lainnya
